Result,Margin,BR,Toss,Bat,Opposition,Ground,Start Date
lost,2wickets,4,lost,1st,ODIvSriLanka,Fatullah,28Feb2014
lost,1wickets,2,lost,1st,ODIvPakistan,Dhaka,2Mar2014
won,8wickets,106,won,2nd,ODIvAfghanistan,Dhaka,5Mar2014
won,7wickets,9,won,2nd,T20IvPakistan,Dhaka,21Mar2014
won,7wickets,2,won,2nd,T20IvWestIndies,Dhaka,23Mar2014
won,8wickets,9,won,2nd,T20IvBangladesh,Dhaka,28Mar2014
won,73runs,-,lost,1st,T20IvAustralia,Dhaka,30Mar2014
won,6wickets,5,lost,2nd,T20IvSouthAfrica,Dhaka,4Apr2014
lost,6wickets,13,lost,1st,T20IvSriLanka,Dhaka,6Apr2014
won,7wickets,7,lost,2nd,ODIvBangladesh,Dhaka,15Jun2014
won,47runs,-,lost,1st,ODIvBangladesh,Dhaka,17Jun2014
n/r,-,-,won,1st,ODIvBangladesh,Dhaka,19Jun2014
draw,-,-,won,1st,TestvEngland,Nottingham,9Jul2014
won,95runs,-,lost,1st,TestvEngland,Lord's,17Jul2014
lost,266runs,-,lost,2nd,TestvEngland,Southampton,27Jul2014
lost,inns&54runs,-,won,1st,TestvEngland,Manchester,7Aug2014
lost,inns&244runs,-,lost,1st,TestvEngland,TheOval,15Aug2014
won,133runs,-,lost,1st,ODIvEngland,Cardiff,27Aug2014
won,6wickets,42,won,2nd,ODIvEngland,Nottingham,30Aug2014
won,9wickets,117,won,2nd,ODIvEngland,Birmingham,2Sep2014
lost,41runs,-,won,2nd,ODIvEngland,Leeds,5Sep2014
lost,3runs,-,lost,2nd,T20IvEngland,Birmingham,7Sep2014
lost,124runs,-,won,2nd,ODIvWestIndies,Kochi,8Oct2014
won,48runs,-,won,1st,ODIvWestIndies,Delhi,11Oct2014
won,59runs,-,lost,1st,ODIvWestIndies,Dharamsala,17Oct2014
won,169runs,-,lost,1st,ODIvSriLanka,Cuttack,2Nov2014
won,6wickets,33,lost,2nd,ODIvSriLanka,Ahmedabad,6Nov2014
won,6wickets,35,lost,2nd,ODIvSriLanka,Hyderabad(Deccan),9Nov2014
won,153runs,-,won,1st,ODIvSriLanka,Kolkata,13Nov2014
won,3wickets,8,lost,2nd,ODIvSriLanka,Ranchi,16Nov2014
lost,48runs,-,lost,2nd,TestvAustralia,Adelaide,9Dec2014
lost,4wickets,-,won,1st,TestvAustralia,Brisbane,17Dec2014
draw,-,-,lost,2nd,TestvAustralia,Melbourne,26Dec2014
draw,-,-,lost,2nd,TestvAustralia,Sydney,6Jan2015
lost,4wickets,6,won,1st,ODIvAustralia,Melbourne,18Jan2015
lost,9wickets,135,won,1st,ODIvEngland,Brisbane,20Jan2015
n/r,-,-,lost,1st,ODIvAustralia,Sydney,26Jan2015
lost,3wickets,19,lost,1st,ODIvEngland,Perth,30Jan2015
won,76runs,-,won,1st,ODIvPakistan,Adelaide,15Feb2015
won,130runs,-,won,1st,ODIvSouthAfrica,Melbourne,22Feb2015
won,9wickets,187,lost,2nd,ODIvU.A.E.,Perth,28Feb2015
won,4wickets,65,lost,2nd,ODIvWestIndies,Perth,6Mar2015
won,8wickets,79,lost,2nd,ODIvIreland,Hamilton,10Mar2015
won,6wickets,8,won,2nd,ODIvZimbabwe,Auckland,14Mar2015
won,109runs,-,won,1st,ODIvBangladesh,Melbourne,19Mar2015
lost,95runs,-,lost,2nd,ODIvAustralia,Sydney,26Mar2015
draw,-,-,won,1st,TestvBangladesh,Fatullah,10Jun2015
lost,79runs,-,lost,2nd,ODIvBangladesh,Dhaka,18Jun2015
lost,6wickets,54,won,1st,ODIvBangladesh,Dhaka,21Jun2015
won,77runs,-,lost,1st,ODIvBangladesh,Dhaka,24Jun2015
won,4runs,-,lost,1st,ODIvZimbabwe,Harare,10Jul2015
won,62runs,-,lost,1st,ODIvZimbabwe,Harare,12Jul2015
won,83runs,-,lost,1st,ODIvZimbabwe,Harare,14Jul2015
won,54runs,-,won,1st,T20IvZimbabwe,Harare,17Jul2015
lost,10runs,-,lost,2nd,T20IvZimbabwe,Harare,19Jul2015
lost,63runs,-,lost,2nd,TestvSriLanka,Galle,12Aug2015
won,278runs,-,won,1st,TestvSriLanka,Colombo(PSS),20Aug2015
won,117runs,-,lost,1st,TestvSriLanka,Colombo(SSC),28Aug2015
lost,7wickets,2,lost,1st,T20IvSouthAfrica,Dharamsala,2Oct2015
lost,6wickets,17,lost,1st,T20IvSouthAfrica,Cuttack,5Oct2015
lost,5runs,-,lost,2nd,ODIvSouthAfrica,Kanpur,11Oct2015
won,22runs,-,won,1st,ODIvSouthAfrica,Indore,14Oct2015
lost,18runs,-,lost,2nd,ODIvSouthAfrica,Rajkot,18Oct2015
won,35runs,-,won,1st,ODIvSouthAfrica,Chennai,22Oct2015
lost,214runs,-,lost,2nd,ODIvSouthAfrica,Mumbai,25Oct2015
won,108runs,-,won,1st,TestvSouthAfrica,Mohali,5Nov2015
draw,-,-,won,2nd,TestvSouthAfrica,Bengaluru,14Nov2015
won,124runs,-,won,1st,TestvSouthAfrica,Nagpur,25Nov2015
won,337runs,-,won,1st,TestvSouthAfrica,Delhi,3Dec2015
lost,5wickets,4,won,1st,ODIvAustralia,Perth,12Jan2016
lost,7wickets,6,won,1st,ODIvAustralia,Brisbane,15Jan2016
lost,3wickets,7,lost,1st,ODIvAustralia,Melbourne,17Jan2016
lost,25runs,-,lost,2nd,ODIvAustralia,Canberra,20Jan2016
won,6wickets,2,won,2nd,ODIvAustralia,Sydney,23Jan2016
won,37runs,-,lost,1st,T20IvAustralia,Adelaide,26Jan2016
won,27runs,-,lost,1st,T20IvAustralia,Melbourne,29Jan2016
won,7wickets,0,lost,2nd,T20IvAustralia,Sydney,31Jan2016
lost,5wickets,12,lost,1st,T20IvSriLanka,Pune,9Feb2016
won,69runs,-,lost,1st,T20IvSriLanka,Ranchi,12Feb2016
won,9wickets,37,won,2nd,T20IvSriLanka,Visakhapatnam,14Feb2016
won,45runs,-,lost,1st,T20IvBangladesh,Dhaka,24Feb2016
won,5wickets,27,won,2nd,T20IvPakistan,Dhaka,27Feb2016
won,5wickets,4,won,2nd,T20IvSriLanka,Dhaka,1Mar2016
won,9wickets,59,lost,2nd,T20IvU.A.E.,Dhaka,3Mar2016
won,8wickets,7,won,2nd,T20IvBangladesh,Dhaka,6Mar2016
lost,47runs,-,lost,2nd,T20IvNewZealand,Nagpur,15Mar2016
won,6wickets,13,won,2nd,T20IvPakistan,Kolkata,19Mar2016
won,1runs,-,lost,1st,T20IvBangladesh,Bengaluru,23Mar2016
won,6wickets,5,lost,2nd,T20IvAustralia,Mohali,27Mar2016
lost,7wickets,2,lost,1st,T20IvWestIndies,Mumbai,31Mar2016
won,9wickets,45,won,2nd,ODIvZimbabwe,Harare,11Jun2016
won,8wickets,139,won,2nd,ODIvZimbabwe,Harare,13Jun2016
won,10wickets,169,lost,2nd,ODIvZimbabwe,Harare,15Jun2016
lost,2runs,-,won,2nd,T20IvZimbabwe,Harare,18Jun2016
won,10wickets,41,lost,2nd,T20IvZimbabwe,Harare,20Jun2016
won,3runs,-,lost,1st,T20IvZimbabwe,Harare,22Jun2016
won,inns&92runs,won,1st,TestvWestIndies,North,Sound,21Jul2016
draw,-,-,lost,2nd,TestvWestIndies,Kingston,30Jul2016
won,237runs,lost,1st,TestvWestIndies,Gros,Islet,9Aug2016
draw,-,-,lost,2nd,TestvWestIndies,PortofSpain,18Aug2016
lost,1runs,-,won,2nd,T20IvWestIndies,Lauderhill,27Aug2016
n/r,-,-,won,2nd,T20IvWestIndies,Lauderhill,28Aug2016
won,197runs,-,won,1st,TestvNewZealand,Kanpur,22Sep2016
won,178runs,-,won,1st,TestvNewZealand,Kolkata,30Sep2016
won,321runs,-,won,1st,TestvNewZealand,Indore,8Oct2016
won,6wickets,101,won,2nd,ODIvNewZealand,Dharamsala,16Oct2016
lost,6runs,-,won,2nd,ODIvNewZealand,Delhi,20Oct2016
won,7wickets,10,won,2nd,ODIvNewZealand,Mohali,23Oct2016
lost,19runs,-,lost,2nd,ODIvNewZealand,Ranchi,26Oct2016
won,190runs,-,won,1st,ODIvNewZealand,Visakhapatnam,29Oct2016
draw,-,-,lost,2nd,TestvEngland,Rajkot,9Nov2016
won,246runs,-,won,1st,TestvEngland,Visakhapatnam,17Nov2016
won,8wickets,-,lost,2nd,TestvEngland,Mohali,26Nov2016
won,inns&36runs,-,lost,2nd,TestvEngland,Mumbai,8Dec2016
won,inns&75runs,-,lost,2nd,TestvEngland,Chennai,16Dec2016
won,3wickets,11,won,2nd,ODIvEngland,Pune,15Jan2017
won,15runs,-,lost,1st,ODIvEngland,Cuttack,19Jan2017
lost,5runs,-,won,2nd,ODIvEngland,Kolkata,22Jan2017
lost,7wickets,11,lost,1st,T20IvEngland,Kanpur,26Jan2017
won,5runs,-,lost,1st,T20IvEngland,Nagpur,29Jan2017
won,75runs,-,lost,1st,T20IvEngland,Bengaluru,1Feb2017
won,208runs,-,won,1st,TestvBangladesh,Hyderabad(Deccan),9Feb2017
lost,333runs,-,lost,2nd,TestvAustralia,Pune,23Feb2017
won,75runs,-,won,1st,TestvAustralia,Bengaluru,4Mar2017
draw,-,-,lost,2nd,TestvAustralia,Ranchi,16Mar2017
won,8wickets,-,lost,2nd,TestvAustralia,Dharamsala,25Mar2017
won,124runs,-,lost,1st,ODIvPakistan,Birmingham,4Jun2017
lost,7wickets,8,lost,1st,ODIvSriLanka,TheOval,8Jun2017
won,8wickets,72,won,2nd,ODIvSouthAfrica,TheOval,11Jun2017
won,9wickets,59,won,2nd,ODIvBangladesh,Birmingham,15Jun2017
lost,180runs,-,won,2nd,ODIvPakistan,TheOval,18Jun2017
n/r,-,-,lost,1st,ODIvWestIndies,PortofSpain,23Jun2017
won,105runs,-,lost,1st,ODIvWestIndies,PortofSpain,25Jun2017
won,93runs,lost,1st,ODIvWestIndies,North,Sound,30Jun2017
lost,11runs,lost,2nd,ODIvWestIndies,North,Sound,2Jul2017
won,8wickets,79,lost,2nd,ODIvWestIndies,Kingston,6Jul2017
lost,9wickets,9,lost,1st,T20IvWestIndies,Kingston,9Jul2017
won,304runs,-,won,1st,TestvSriLanka,Galle,26Jul2017
won,inns&53runs,-,won,1st,TestvSriLanka,Colombo(SSC),3Aug2017
won,inns&171runs,-,won,1st,TestvSriLanka,Pallekele,12Aug2017
won,9wickets,127,won,2nd,ODIvSriLanka,Dambulla,20Aug2017
won,3wickets,16,won,2nd,ODIvSriLanka,Pallekele,24Aug2017
won,6wickets,29,lost,2nd,ODIvSriLanka,Pallekele,27Aug2017
won,168runs,-,won,1st,ODIvSriLanka,Colombo(RPS),31Aug2017
won,6wickets,21,lost,2nd,ODIvSriLanka,Colombo(RPS),3Sep2017
won,7wickets,4,won,2nd,T20IvSriLanka,Colombo(RPS),6Sep2017
won,26runs,-,won,1st,ODIvAustralia,Chennai,17Sep2017
won,50runs,-,won,1st,ODIvAustralia,Kolkata,21Sep2017
won,5wickets,13,lost,2nd,ODIvAustralia,Indore,24Sep2017
lost,21runs,-,lost,2nd,ODIvAustralia,Bengaluru,28Sep2017
won,7wickets,43,lost,2nd,ODIvAustralia,Nagpur,1Oct2017
won,9wickets,3,won,2nd,T20IvAustralia,Ranchi,7Oct2017
lost,8wickets,27,lost,1st,T20IvAustralia,Guwahati,10Oct2017
lost,6wickets,6,won,1st,ODIvNewZealand,Mumbai,22Oct2017
won,6wickets,24,lost,2nd,ODIvNewZealand,Pune,25Oct2017
won,6runs,-,lost,1st,ODIvNewZealand,Kanpur,29Oct2017
won,53runs,-,lost,1st,T20IvNewZealand,Delhi,1Nov2017
lost,40runs,-,lost,2nd,T20IvNewZealand,Rajkot,4Nov2017
won,6runs,-,lost,1st,T20IvNewZealand,Thiruvananthapuram,7Nov2017
draw,-,-,lost,1st,TestvSriLanka,Kolkata,16Nov2017
won,inns&239runs,-,lost,2nd,TestvSriLanka,Nagpur,24Nov2017
draw,-,-,won,1st,TestvSriLanka,Delhi,2Dec2017
lost,7wickets,176,lost,1st,ODIvSriLanka,Dharamsala,10Dec2017
won,141runs,-,lost,1st,ODIvSriLanka,Mohali,13Dec2017
won,8wickets,107,won,2nd,ODIvSriLanka,Visakhapatnam,17Dec2017
won,93runs,-,lost,1st,T20IvSriLanka,Cuttack,20Dec2017
won,88runs,-,lost,1st,T20IvSriLanka,Indore,22Dec2017
won,5wickets,4,won,2nd,T20IvSriLanka,Mumbai,24Dec2017
lost,72runs,lost,2nd,TestvSouthAfrica,Cape,Town,5Jan2018
lost,135runs,-,lost,2nd,TestvSouthAfrica,Centurion,13Jan2018
won,63runs,-,won,1st,TestvSouthAfrica,Johannesburg,24Jan2018
won,6wickets,27,lost,2nd,ODIvSouthAfrica,Durban,1Feb2018
won,9wickets,177,won,2nd,ODIvSouthAfrica,Centurion,4Feb2018
won,124runs,lost,1st,ODIvSouthAfrica,Cape,Town,7Feb2018
lost,5wickets,15,won,1st,ODIvSouthAfrica,Johannesburg,10Feb2018
won,73runs,lost,1st,ODIvSouthAfrica,PortElizabeth13Feb2018
won,8wickets,107,won,2nd,ODIvSouthAfrica,Centurion,16Feb2018
won,28runs,-,lost,1st,T20IvSouthAfrica,Johannesburg,18Feb2018
lost,6wickets,8,lost,1st,T20IvSouthAfrica,Centurion,21Feb2018
won,7runs,lost,1st,T20IvSouthAfrica,Cape,Town,24Feb2018
lost,5wickets,9,lost,1st,T20IvSriLanka,Colombo(RPS),6Mar2018
won,6wickets,8,won,2nd,T20IvBangladesh,Colombo(RPS),8Mar2018
won,6wickets,9,won,2nd,T20IvSriLanka,Colombo(RPS),12Mar2018
won,17runs,-,lost,1st,T20IvBangladesh,Colombo(RPS),14Mar2018
won,4wickets,0,won,2nd,T20IvBangladesh,Colombo(RPS),18Mar2018
won,inns&262runs,-,won,1st,TestvAfghanistan,Bengaluru,14Jun2018
won,76runs,-,lost,1st,T20IvIreland,Dublin(Malahide),27Jun2018
won,143runs,-,lost,1st,T20IvIreland,Dublin(Malahide),29Jun2018
won,8wickets,10,won,2nd,T20IvEngland,Manchester,3Jul2018
lost,5wickets,2,lost,1st,T20IvEngland,Cardiff,6Jul2018
won,7wickets,8,won,2nd,T20IvEngland,Bristol,8Jul2018
won,8wickets,59,won,2nd,ODIvEngland,Nottingham,12Jul2018
lost,86runs,-,lost,2nd,ODIvEngland,Lord's,14Jul2018
lost,8wickets,33,lost,1st,ODIvEngland,Leeds,17Jul2018
lost,31runs,-,lost,2nd,TestvEngland,Birmingham,1Aug2018
lost,inns&159runs,-,lost,1st,TestvEngland,Lord's,9Aug2018
won,203runs,-,lost,1st,TestvEngland,Nottingham,18Aug2018
lost,60runs,-,lost,2nd,TestvEngland,Southampton,30Aug2018
lost,118runs,-,lost,2nd,TestvEngland,TheOval,7Sep2018
won,26runs,-,lost,1st,ODIvHongKong,Dubai(DSC),18Sep2018
won,8wickets,126,lost,2nd,ODIvPakistan,Dubai(DSC),19Sep2018
won,7wickets,82,won,2nd,ODIvBangladesh,Dubai(DSC),21Sep2018
won,9wickets,63,lost,2nd,ODIvPakistan,Dubai(DSC),23Sep2018
tied,-,-,lost,2nd,ODIvAfghanistan,Dubai(DSC),25Sep2018
